"","Year","Area","Street","Street.2","Strange.HTML"
"1257",2011,"","Outside Oceana Club",NA,""
"1258",2011,"","Outside Reflex Nightclub",NA,""
"1259",2011,"","Outside Revolution Bridge str. Walsal","Outside Revolution Bridge Str Walsal",""
"1260",2011,"","Outside Rocket Club Broad str.","Outside Rocket Club Broad Str",""
"1261",2011,"","Outside Walkabout Broad str.","Outside Walkabout Broad Str",""
"1262",2011,"","O Velvet Nightclub Broad str. Birmingham","O Velvet Nightclub Broad Str Birmingham",""
"1263",2011,"","Oxhill rd.","Oxhill str.",""
"1264",2011,"","Pagoda Island",NA,""
"1265",2011,"","Paradise Forum",NA,""
"1266",2011,"","Paradise Forum City Centre Birmingham",NA,""
"1267",2011,"","Paradise Forum Victoria Square Birmingham",NA,""
"1268",2011,"","Pershore str. Car Park","Pershore Str Car Park",""
"1269",2011,"","Pershore str. rd. City Centre","Pershore Str str. City Centre",""
"1270",2011,"","Pershore str. City Centre","Pershore Str City Centre",""
"1271",2011,"","Pizza Hut New str. Birmingham","Pizza Hut New Str Birmingham",""
"1272",2011,"","Quigley ave.",NA,""
"1273",2011,"","Rag Market City Centre",NA,""
"1274",2011,"","Reflex On Broad str. Birmingham","Reflex On Broad Str Birmingham",""
"1275",2011,"","Regency Wharf",NA,""
"1276",2011,"","Risa Bar Birmingham",NA,""
"1277",2011,"","Risa Broad str.","Risa Broad Str",""
"1278",2011,"","Rookery rd. Handsworth","Rookery str. Handsworth",""
"1279",2011,"","Rottersley str. Birmingham","Rottersley Str Birmingham",""
"1280",2011,"","Rotunda Island City Centre",NA,""
"1281",2011,"","Sainsburys Colmore Row",NA,""
"1282",2011,"","Sandringham rd.","Sandringham str.",""
"1283",2011,"","Sandwell Hospital",NA,""
"1284",2011,"","Sence In The Arcadian",NA,""
"1285",2011,"","Sense Nightclub Arcadia Birmingham",NA,""
"1286",2011,"","Shadwell str.","Shadwell Str",""
"1287",2011,"","Shakespeare Bar New str. Station","Shakespeare Bar New Str Station",""
"1288",2011,"","Shakespeare Ph New str. Station","Shakespeare Ph New Str Station",""
"1289",2011,"","Sheepcote str. Birmingham","Sheepcote Str Birmingham",""
"1290",2011,"","Sioho rd. Handsworth","Sioho str. Handsworth",""
"1291",2011,"","Slade rd. Erdington","Slade str. Erdington",""
"1292",2011,"","Small Brook Queensway",NA,""
"1293",2011,"","Smallbrook Queensway",NA,""
"1294",2011,"","Smallbrook Queensway",NA,""
"1295",2011,"","Smallbrook Queensway",NA,""
"1296",2011,"","Smallbrook Queensway City Centre Birmingham",NA,""
"1297",2011,"","Smallbrook Queensway City Centre",NA,""
"1298",2011,"","Smethwick End",NA,""
"1299",2011,"","Soho Hill",NA,""
"1300",2011,"","Soho Hill Handsworth Birmingham",NA,""
"1301",2011,"","Soho rd.","Soho str.",""
"1302",2011,"","Soho rd.","Soho str.",""
"1303",2011,"","Soho rd.","Soho str.",""
"1304",2011,"","Soho rd.","Soho str.",""
"1305",2011,"","Sommerfield Park Winson Green",NA,""
"1306",2011,"","Square Peg Ph",NA,""
"1307",2011,"","Square Peg Corporation str.","Square Peg Corporation Str",""
"1308",2011,"","Star City Aston",NA,""
"1309",2011,"","Star City Birmingham",NA,""
"1310",2011,"","Star City Nechells",NA,""
"1311",2011,"","Station rd. City Centre","Station str. City Centre",""
"1312",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1313",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1314",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1315",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1316",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1317",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1318",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1319",2011,"","Steelhouse Lane","Steelhouse ln.",""
"1320",2011,"","Steelhouse Lane Police Station","Steelhouse ln. Police Station",""
"1321",2011,"","Steelhouse Lane Birmingham","Steelhouse ln. Birmingham",""
"1322",2011,"","Steelhouse Lane City Centre Birmingham","Steelhouse ln. City Centre Birmingham",""
"1323",2011,"","Stephenson str.","Stephenson Str",""
"1324",2011,"","Stephenson str.","Stephenson Str",""
"1325",2011,"","Stephenson str. Birmingham City","Stephenson Str Birmingham City",""
"1326",2011,"","Stephenson str. City Centre","Stephenson Str City Centre",""
"1327",2011,"","Stephensons str.","Stephensons Str",""
"1328",2011,"","Suffolk str. Queensway","Suffolk Str Queensway",""
"1329",2011,"","Sugar Suite Broad str.","Sugar Suite Broad Str",""
"1330",2011,"","Summer Lane","Summer ln.",""
"1331",2011,"","Summer Row",NA,""
"1332",2011,"","Temple Row",NA,""
"1333",2011,"","Temple Row",NA,""
"1334",2011,"","Tennant str.","Tennant Str",""
"1335",2011,"","Terrace rd. Handsworth","Terrace str. Handsworth",""
"1336",2011,"","Tesco Aston Lane","Tesco Aston ln.",""
"1337",2011,"","Tesco Springhill",NA,""
"1338",2011,"","The Parade Sutton Coldfield",NA,""
"1339",2011,"","The Parade Sutton Coldfield",NA,""
"1340",2011,"","The Ramp Corporation str. Birmingham","The Ramp Corporation Str Birmingham",""
"1341",2011,"","The Ramp",NA,""
"1342",2011,"","Thornhill rd. Birmingham","Thornhill str. Birmingham",""
"1343",2011,"","Thornhill rd. Handsworth","Thornhill str. Handsworth",""
"1344",2011,"","Thorpe str. At Hurst str.","Thorpe Str At Hurst Str",""
"1345",2011,"","Thorpe str.","Thorpe Str",""
"1346",2011,"","Trocadero Public House O S",NA,""
"1347",2011,"","Turners Pallets Hayhole rd.","Turners Pallets Hayhole str.",""
"1348",2011,"","Upper Dean str.","Upper Dean Str",""
"1349",2011,"","Upper Dean str. Birmingham","Upper Dean Str Birmingham",""
"1350",2011,"","Upper Dean str. Birmingham City Centre","Upper Dean Str Birmingham City Centre",""
"1351",2011,"","Upper Dean str. City Centre","Upper Dean Str City Centre",""
"1352",2011,"","Upper Parade Sutton Coldfield",NA,""
"1353",2011,"","Upper Parade Sutton Coldfield",NA,""
"1354",2011,"","Victoria Square Bham",NA,""
"1355",2011,"","Victoria Square City Centre",NA,""
"1356",2011,"","Waiverley Park Handsworth",NA,""
"1357",2011,"","Walkabout Bar Broad str.","Walkabout Bar Broad Str",""
"1358",2011,"","Walkabout Ph Broad str. Birmingham","Walkabout Ph Broad Str Birmingham",""
"1359",2011,"","Walkabout Ph Broad str. Birmingham","Walkabout Ph Broad Str Birmingham",""
"1360",2011,"","Walkabout Broad str.","Walkabout Broad Str",""
"1361",2011,"","Walsall rd. Great Barr","Walsall str. Great Barr",""
"1362",2011,"","Walsall rd. Perry Barr","Walsall str. Perry Barr",""
"1363",2011,"","Warf rd. Kings Norton","Warf str. Kings Norton",""
"1364",2011,"","Warwards Lane","Warwards ln.",""
"1365",2011,"","Washington Drive Handsworth Wood",NA,""
"1366",2011,"","Washington str.","Washington Str",""
"1367",2011,"","Waterloo rd. Smethwick","Waterloo str. Smethwick",""
"1368",2011,"","Waverhill Park Handsworth",NA,""
"1369",2011,"","Waverhill rd. Handsworth","Waverhill str. Handsworth",""
"1370",2011,"","Way Entrance Villa Ground",NA,""
"1371",2011,"","Wellington rd.","Wellington str.",""
"1372",2011,"","Witton Arms",NA,""
"1373",2011,"","Witton rd.","Witton str.",""
"1374",2011,"","Witton rd.","Witton str.",""
"1375",2011,"","Witton rd. Aston","Witton str. Aston",""
"1376",2011,"","Wrottesley str.","Wrottesley Str",""
"1377",2011,"Coventry","Primrose Hill Coventry",NA,""
"1378",2011,"","Albany rd.","Albany str.",""
"1379",2011,"","Aldbourne rd.","Aldbourne str.",""
"1380",2011,"","Aldermans Green rd.","Aldermans Green str.",""
"1381",2011,"","Allesley Old rd.","Allesley Old str.",""
"1382",2011,"","Almond Tree ave.",NA,""
"1383",2011,"","Arbury ave. Coventry",NA,""
"1384",2011,"","Arena Carpark A444",NA,""
"1385",2011,"","Argyle str. Coventry","Argyle Str Coventry",""
"1386",2011,"","Armstrong ave. Stoke",NA,""
"1387",2011,"","Ashorne Close",NA,""
"1388",2011,"","Attoxhall str.","Attoxhall Str",""
"1389",2011,"","Averley rd. Daimler Green","Averley str. Daimler Green",""
"1390",2011,"","Awson str.","Awson Str",""
"1391",2011,"","Bandals Surgery Foleshill rd.","Bandals Surgery Foleshill str.",""
"1392",2011,"","Bell Green str. Junction A444","Bell Green Str Junction A444",""
"1393",2011,"","Bell Green rd. Coventry","Bell Green str. Coventry",""
"1394",2011,"","Bell Green rd. Coventry","Bell Green str. Coventry",""
"1395",2011,"","Binley rd.","Binley str.",""
"1396",2011,"","Binley rd.","Binley str.",""
"1397",2011,"","Binley rd.","Binley str.",""
"1398",2011,"","Binley rd.","Binley str.",""
"1399",2011,"","Bishop str.","Bishop Str",""
"1400",2011,"","Blackhorse Lane","Blackhorse ln.",""
"1401",2011,"","Blythe rd.","Blythe str.",""
"1402",2011,"","Bp Garage Ansty rd.","Bp Garage Ansty str.",""
"1403",2011,"","Bramble str. Coventry","Bramble Str Coventry",""
"1404",2011,"","Braod Park rd. Coventry","Braod Park str. Coventry",""
"1405",2011,"","Bredon ave. Coventry",NA,""
"1406",2011,"","Broadgate",NA,""
"1407",2011,"","Bull Yard",NA,""
"1408",2011,"","Bushberry ave.",NA,""
"1409",2011,"","Butts rd. Coventry","Butts str. Coventry",""
"1410",2011,"","Cashs Lane","Cashs ln.",""
"1411",2011,"","Cauldon rd.","Cauldon str.",""
"1412",2011,"","Charter ave.",NA,""
"1413",2011,"","Charter ave. Coventry",NA,""
"1414",2011,"","Chester str.","Chester Str",""
"1415",2011,"","Chesterton rd.","Chesterton str.",""
"1416",2011,"","Cheveral ave. Coventry",NA,""
"1417",2011,"","Cliffbridge rd.","Cliffbridge str.",""
"1418",2011,"","Clifton str. Coventry","Clifton Str Coventry",""
"1419",2011,"","Coc str.","Coc Str",""
"1420",2011,"","Communal Landing At George Poole House Coventry",NA,""
"1421",2011,"","Compton rd.","Compton str.",""
"1422",2011,"","Concourse Near Mortimers",NA,""
"1423",2011,"","Cook str.","Cook Str",""
"1424",2011,"","Corporation str.","Corporation Str",""
"1425",2011,"","Corporation str. Coventry","Corporation Str Coventry",""
"1426",2011,"","Corporation str.","Corporation Str",""
"1427",2011,"","Coundon rd.","Coundon str.",""
"1428",2011,"","Coventry",NA,""
"1429",2011,"","Coventry Central Cells",NA,""
"1430",2011,"","Coventry Central Front Office",NA,""
"1431",2011,"","Coventry Central Pol Stn",NA,""
"1432",2011,"","Coventry Central Police Station",NA,""
"1433",2011,"","Coventry Central Police Station",NA,""
"1434",2011,"","Coventry Central Ps",NA,""
"1435",2011,"","Coventry Central Ps",NA,""
"1436",2011,"","Coventry Railwat Station",NA,""
"1437",2011,"","Coventry Railway Station",NA,""
"1438",2011,"","Coventry Train Station",NA,""
"1439",2011,"","Cox str.","Cox Str",""
"1440",2011,"","Cross rd.","Cross str.",""
"1441",2011,"","Devonshire Arms",NA,""
"1442",2011,"","Duckham Court",NA,""
"1443",2011,"","Earlsdon High str.","Earlsdon High Str",""
"1444",2011,"","Elms Pub Birmingham rd.","Elms Pub Birmingham str.",""
"1445",2011,"","Fairfax str.","Fairfax Str",""
"1446",2011,"","Far Gosford str.","Far Gosford Str",""
"1447",2011,"","Far Gosford str.","Far Gosford Str",""
"1448",2011,"","Farndale ave.",NA,""
"1449",2011,"","Farndale ave.",NA,""
"1450",2011,"","Foleshill str.","Foleshill Str",""
"1451",2011,"","Foleshill rd.","Foleshill str.",""
"1452",2011,"","Foleshill rd.","Foleshill str.",""
"1453",2011,"","Foleshill rd.","Foleshill str.",""
"1454",2011,"","Foleshill rd. Coventry","Foleshill str. Coventry",""
"1455",2011,"","Four Pounds ave. Coventry",NA,""
"1456",2011,"","Friars rd.","Friars str.",""
"1457",2011,"","Front Of Coventry Central Police Station",NA,""
"1458",2011,"","Front Office",NA,""
"1459",2011,"","Front Office",NA,""
"1460",2011,"","Gala Bingo Pool Meadow",NA,""
"1461",2011,"","Gosford str.","Gosford Str",""
"1462",2011,"","Gosford str.","Gosford Str",""
"1463",2011,"","Gosford str.","Gosford Str",""
"1464",2011,"","Greyfriars str. Coventry","Greyfriars Str Coventry",""
"1465",2011,"","Gulson rd. Coventry","Gulson str. Coventry",""
"1466",2011,"","Gulson rd. Coventry","Gulson str. Coventry",""
"1467",2011,"","Hale str.","Hale Str",""
"1468",2011,"","Hales str. Coventry","Hales Str Coventry",""
"1469",2011,"","Hartfrod str.","Hartfrod Str",""
"1470",2011,"","Hayle str.","Hayle Str",""
"1471",2011,"","Hayles str.","Hayles Str",""
"1472",2011,"","Hedgefield Way",NA,""
"1473",2011,"","Herald Way Coventry",NA,""
"1474",2011,"","High str. Coventry","High Str Coventry",""
"1475",2011,"","High str.","High Str",""
"1476",2011,"","High str.","High Str",""
"1477",2011,"","Hill str.","Hill Str",""
"1478",2011,"","Hipswell Highway",NA,""
"1479",2011,"","Holmesdale rd.","Holmesdale str.",""
"1480",2011,"","Hurst rd.","Hurst str.",""
"1481",2011,"","Ibis Hotel",NA,""
"1482",2011,"","Ikea Car Park",NA,""
"1483",2011,"","Ikea Plaza",NA,""
"1484",2011,"","Iron Monger Row",NA,""
"1485",2011,"","Jardine Crescent",NA,""
"1486",2011,"","Jardine Crescent",NA,""
"1487",2011,"","Jasrdine Crescent",NA,""
"1488",2011,"","Jd Wetherspoon Earlsdon",NA,""
"1489",2011,"","Jordan Well",NA,""
"1490",2011,"","Jordan Well Coventry",NA,""
"1491",2011,"","Jubilee Cresent",NA,""
"1492",2011,"","Kirby rd.","Kirby str.",""
"1493",2011,"","Lady Lane","Lady ln.",""
"1494",2011,"","Lambeth Close",NA,""
"1495",2011,"","Leader Close",NA,""
"1496",2011,"","Lidice Place",NA,""
"1497",2011,"","Lincoln str. Coventry","Lincoln Str Coventry",""
"1498",2011,"","Littl Park str.","Littl Park Str",""
"1499",2011,"","Little Park str. Coventry","Little Park Str Coventry",""
"1500",2011,"","Little Park str. Coventry","Little Park Str Coventry",""
"1501",2011,"","Little Park str. Coventry","Little Park Str Coventry",""
"1502",2011,"","Little Park str.","Little Park Str",""
"1503",2011,"","Little Park str.","Little Park Str",""
"1504",2011,"","Little Park str.","Little Park Str",""
"1505",2011,"","Little Park str.","Little Park Str",""
"1506",2011,"","Little Park str.","Little Park Str",""
"1507",2011,"","Little Park str.","Little Park Str",""
"1508",2011,"","Little Park str.","Little Park Str",""
"1509",2011,"","Little Park str.","Little Park Str",""
"1510",2011,"","Little Park str.","Little Park Str",""
"1511",2011,"","London rd.","London str.",""
"1512",2011,"","London rd.","London str.",""
"1513",2011,"","Longford rd.","Longford str.",""
"1514",2011,"","Lower Ford str.","Lower Ford Str",""
"1515",2011,"","Lower Ford str.","Lower Ford Str",""
"1516",2011,"","Lower Holyhead D Jtn With Spon str.","Lower Holyhead D Jtn With Spon Str",""
"1517",2011,"","Lower Holyhead str. Coventry","Lower Holyhead Str Coventry",""
"1518",2011,"","Lower Holyhead rd. Coventry","Lower Holyhead str. Coventry",""
"1519",2011,"","Lower Precinct Coventry",NA,""
"1520",2011,"","Mafo",NA,""
"1521",2011,"","Manor House Drive",NA,""
"1522",2011,"","Market Way",NA,""
"1523",2011,"","Mary Slessor str.","Mary Slessor Str",""
"1524",2011,"","Masser rd.","Masser str.",""
"1525",2011,"","Mcdonalds Restaurant A45 Coventry",NA,""
"1526",2011,"","Memorial Park Coventry",NA,""
"1527",2011,"","Middle Ride",NA,""
"1528",2011,"","Mile Lane","Mile ln.",""
"1529",2011,"","Mile Lane","Mile ln.",""
"1530",2011,"","Millenium Place",NA,""
"1531",2011,"","Millenium Place",NA,""
"1532",2011,"","Mint Casino King William str.","Mint Casino King William Str",""
"1533",2011,"","Miranda Close",NA,""
"1534",2011,"","Morris rd.","Morris str.",""
"1535",2011,"","Motor Museum",NA,""
"1536",2011,"","New Union str.","New Union Str",""
"1537",2011,"","Norman Place rd.","Norman Place str.",""
"1538",2011,"","Northy rd.","Northy str.",""
"1539",2011,"","O S Ccfo",NA,""
"1540",2011,"","O S Coventry Central Police Station",NA,""
"1541",2011,"","O S Gosford Arms",NA,""
"1542",2011,"","Oak Gosford str.","Oak Gosford Str",""
"1543",2011,"","Outside Coventry Central Ps",NA,""
"1544",2011,"","Outside Foleshill Ps",NA,""
"1545",2011,"","Outside Front Of Coventry Central Police Station",NA,""
"1546",2011,"","Outside Heat Bar",NA,""
"1547",2011,"","Outside Kasbars",NA,""
"1548",2011,"","Outside Of The Jewson Stand Richo Arena Coventry",NA,""
"1549",2011,"","Owenford rd.","Owenford str.",""
"1550",2011,"","Palm Tree ave. Wood End",NA,""
"1551",2011,"","Palmer Lane Coventry","Palmer ln. Coventry",""
"1552",2011,"","Palmer Lane Coventry","Palmer ln. Coventry",""
"1553",2011,"","Palmer Lane Coventry","Palmer ln. Coventry",""
"1554",2011,"","Penruddick Drive Coventry",NA,""
"1555",2011,"","Plymouth Close",NA,""
"1556",2011,"","Pool Meadow",NA,""
"1557",2011,"","Pool Meadow Bus Station",NA,""
"1558",2011,"","Pool Meadow Bus Stn",NA,""
"1559",2011,"","Poolmeadow",NA,""
"1560",2011,"","Poolmeadow Bus Station",NA,""
"1561",2011,"","Poolmeadow Bus Station",NA,""
"1562",2011,"","Poppy Court Remembrance rd. Willenhall Coventry","Poppy Court Remembrance str. Willenhall Coventry",""
"1563",2011,"","Primrose Hill str.","Primrose Hill Str",""
"1564",2011,"","Primrose Hill str.","Primrose Hill Str",""
"1565",2011,"","Primrose Hill str.","Primrose Hill Str",""
"1566",2011,"","Primrose Hill str. Coventry","Primrose Hill Str Coventry",""
"1567",2011,"","Princethorpe Way",NA,""
"1568",2011,"","Priory Fields Coventry",NA,""
"1569",2011,"","Priory Gardens",NA,""
"1570",2011,"","Priory str.","Priory Str",""
"1571",2011,"","Puma Way",NA,""
"1572",2011,"","Queen Mary S rd. Foleshill Coventry","Queen Mary S str. Foleshill Coventry",""
"1573",2011,"","Queen Marys rd. Coventry","Queen Marys str. Coventry",""
"1574",2011,"","Queen Victoria rd.","Queen Victoria str.",""
"1575",2011,"","Radford rd.","Radford str.",""
"1576",2011,"","Radford rd.","Radford str.",""
"1577",2011,"","Raglan str.","Raglan Str",""
"1578",2011,"","Red Lane","Red ln.",""
"1579",2011,"","Remembrance rd.","Remembrance str.",""
"1580",2011,"","Richo Areana",NA,""
"1581",2011,"","Richo Areana",NA,""
"1582",2011,"","Richo Arena Coventry",NA,""
"1583",2011,"","Ricoh Arena",NA,""
"1584",2011,"","Ricoh Arena",NA,""
"1585",2011,"","Ricoh Arena",NA,""
"1586",2011,"","Ridgethorpe Willenhall Coventry",NA,""
"1587",2011,"","Rileys Square Bell Green",NA,""
"1588",2011,"","Ring str.","Ring Str",""
"1589",2011,"","Riverwalk Walk Wood End",NA,""
"1590",2011,"","Roland ave. Holbrooks Coventry",NA,""
"1591",2011,"","Rotherhanm rd.","Rotherhanm str.",""
"1592",2011,"","Sainsburys Trinity str. Coventry","Sainsburys Trinity Str Coventry",""
"1593",2011,"","Scots Lane","Scots ln.",""
"1594",2011,"","Sewall Highway",NA,""
"1595",2011,"","Sewall Highway",NA,""
"1596",2011,"","Sewall Highway Coventry",NA,""
"1597",2011,"","Silver str. Coventry","Silver Str Coventry",""
"1598",2011,"","Sky Blue Way",NA,""
"1599",2011,"","Sky Dome",NA,""
"1600",2011,"","Sky Dome",NA,""
"1601",2011,"","Sky Dome",NA,""
"1602",2011,"","Sky Dome",NA,""
"1603",2011,"","Sky Dome",NA,""
"1604",2011,"","Sky Dome",NA,""
"1605",2011,"","Sky Dome",NA,""
"1606",2011,"","Sky Dome",NA,""
"1607",2011,"","Sky Dome Concourse",NA,""
"1608",2011,"","Sky Dome Concourse",NA,""
"1609",2011,"","Sky Dome Concourse",NA,""
"1610",2011,"","Sky Dome Concourse",NA,""
"1611",2011,"","Sky Dome Concourse",NA,""
"1612",2011,"","Sky Dome Concourse Covenmtry",NA,""
"1613",2011,"","Sky Dome Concourse Coventry",NA,""
"1614",2011,"","Sky Dome Concourse",NA,""
"1615",2011,"","Sky Dome Coventry",NA,""
"1616",2011,"","Sky Dome Coventry City Centre",NA,""
"1617",2011,"","Sky Dome",NA,""
"1618",2011,"","Sky Dome",NA,""
"1619",2011,"","Sky Dome",NA,""
"1620",2011,"","Skydome",NA,""
"1621",2011,"","Skydome",NA,""
"1622",2011,"","Skydome",NA,""
"1623",2011,"","Skydome",NA,""
"1624",2011,"","Skydome",NA,""
"1625",2011,"","Skydome",NA,""
"1626",2011,"","Skydome Coventry",NA,""
"1627",2011,"","Skydome Car Park",NA,""
"1628",2011,"","Skydome Car Park",NA,""
"1629",2011,"","Skydome Complex",NA,""
"1630",2011,"","Skydome Complex",NA,""
"1631",2011,"","Skydome Complex",NA,""
"1632",2011,"","Skydome Complex Coventry",NA,""
"1633",2011,"","Skydome Concourse",NA,""
"1634",2011,"","Skydome Concourse",NA,""
"1635",2011,"","Skydome Concourse",NA,""
"1636",2011,"","Skydome Concourse",NA,""
"1637",2011,"","Skydome Concourse",NA,""
"1638",2011,"","Skydome Concourse",NA,""
"1639",2011,"","Skydome Concourse",NA,""
"1640",2011,"","Skydome Concourse",NA,""
"1641",2011,"","Skydome Concourse",NA,""
"1642",2011,"","Skydome Concourse",NA,""
"1643",2011,"","Skydome Concourse",NA,""
"1644",2011,"","Skydome Concourse",NA,""
"1645",2011,"","Skydome Concourse",NA,""
"1646",2011,"","Skydome Concourse",NA,""
"1647",2011,"","Skydome Concourse",NA,""
"1648",2011,"","Skydome Concourse Coventry",NA,""
"1649",2011,"","Skydome Concourse",NA,""
"1650",2011,"","Skydome Coventry",NA,""
"1651",2011,"","Skydome Coventry",NA,""
"1652",2011,"","Skydome Coventry City Centre",NA,""
"1653",2011,"","Skydome Coventry",NA,""
"1654",2011,"","Skydome Coventry",NA,""
"1655",2011,"","Sorell Close",NA,""
"1656",2011,"","Southbank rd. Coventry","Southbank str. Coventry",""
"1657",2011,"","Spom str. Coventry","Spom Str Coventry",""
"1658",2011,"","Spon End",NA,""
"1659",2011,"","Spon End Coventry",NA,""
"1660",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1661",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1662",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1663",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1664",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1665",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1666",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1667",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1668",2011,"","Spon str. Coventry","Spon Str Coventry",""
"1669",2011,"","Spon str.","Spon Str",""
"1670",2011,"","Spon str.","Spon Str",""
"1671",2011,"","Spon str.","Spon Str",""
"1672",2011,"","Spon str.","Spon Str",""
"1673",2011,"","Spon str.","Spon Str",""
"1674",2011,"","Spon str.","Spon Str",""
"1675",2011,"","str. Georges rd.","Str Georges str.",""
"1676",2011,"","str. Georges rd. Stoke","Str Georges str. Stoke",""
"1677",2011,"","str. Lukes rd. Coventry","Str Lukes str. Coventry",""
"1678",2011,"","Stonet Stanton rd. Police Station","Stonet Stanton str. Police Station",""
"1679",2011,"","Stoney Stanton rd. Police Station Coventry","Stoney Stanton str. Police Station Coventry",""
"1680",2011,"","Swanswell Park",NA,""
"1681",2011,"","Tachbrook Close",NA,""
"1682",2011,"","Tarquin Close Coventry",NA,""
"1683",2011,"","Terry rd.","Terry str.",""
"1684",2011,"","Terry rd. Coventry","Terry str. Coventry",""
"1685",2011,"","The Bull Yard City Centre",NA,""
"1686",2011,"","The Bullyard",NA,""
"1687",2011,"","The Burges",NA,""
"1688",2011,"","The Burgess",NA,""
"1689",2011,"","The Burgess",NA,""
"1690",2011,"","The Burgess",NA,""
"1691",2011,"","The Butts Coventry",NA,""
"1692",2011,"","The Butts Retreat Ph",NA,""
"1693",2011,"","The Croft Longford",NA,""
"1694",2011,"","The Forum Medical Centre Coventry",NA,""
"1695",2011,"","Thimbler rd.","Thimbler str.",""
"1696",2011,"","Tile Hill Lane Coventry","Tile Hill ln. Coventry",""
"1697",2011,"","Torrington ave.",NA,""
"1698",2011,"","Trinity Point Link",NA,""
"1699",2011,"","Trinity str.","Trinity Str",""
"1700",2011,"","Trinity str.","Trinity Str",""
"1701",2011,"","Trinity str.","Trinity Str",""
"1702",2011,"","Trinity str. City Centre Coventry","Trinity Str City Centre Coventry",""
"1703",2011,"","University Hospital",NA,""
"1704",2011,"","University Hospital",NA,""
"1705",2011,"","University Hospital Coventry",NA,""
"1706",2011,"","Unniversity Of Warwick Coventry",NA,""
"1707",2011,"","Upper Spon str.","Upper Spon Str",""
"1708",2011,"","Vine str.","Vine Str",""
"1709",2011,"","Vine str.","Vine Str",""
"1710",2011,"","Vinecote rd.","Vinecote str.",""
"1711",2011,"","Wallace str.","Wallace Str",""
"1712",2011,"","Walsgrave Hospital",NA,""
"1713",2011,"","Warwick Row",NA,""
"1714",2011,"","Warwick University",NA,""
"1715",2011,"","West Orchard",NA,""
"1716",2011,"","West Orchards Circulatory rd.","West Orchards Circulatory str.",""
"1717",2011,"","White str.","White Str",""
"1718",2011,"","Willenhall Lane Coventry","Willenhall ln. Coventry",""
"1719",2011,"","Willenhall Police Station Front Office",NA,""
"1720",2011,"","Willenhall Ps",NA,""
"1721",2011,"","Winnalthorpe",NA,""
"1722",2011,"","Wood Way Lane Coventry","Wood Way ln. Coventry",""
"1723",2011,"","Wroxall Drive",NA,""
"1724",2011,"","Wroxhall Drive",NA,""
"1725",2011,"Dudley","Albion str. Brierley Hill","Albion Str Brierley Hill",""
"1726",2011,"","Amblecote High str. Stourbridge","Amblecote High Str Stourbridge",""
"1727",2011,"","Arley Court",NA,""
"1728",2011,"","Baptist End rd. Netherton","Baptist End str. Netherton",""
"1729",2011,"","Bell str. Stourbridge","Bell Str Stourbridge",""
"1730",2011,"","Bell str.","Bell Str",""
"1731",2011,"","Bell str. Stourbridge","Bell Str Stourbridge",""
"1732",2011,"","Bhps",NA,""
"1733",2011,"","Birmingham str. Stourbridge","Birmingham Str Stourbridge",""
"1734",2011,"","Bramford Arms",NA,""
"1735",2011,"","Brettle Lane","Brettle ln.",""
"1736",2011,"","Brickhouse rd.","Brickhouse str.",""
"1737",2011,"","Brisbane rd. Smethwick","Brisbane str. Smethwick",""
"1738",2011,"","Broadway Stourbridge",NA,""
"1739",2011,"","Broadway Stourbridge",NA,""
"1740",2011,"","Broadway Stourbridge",NA,""
"1741",2011,"","Burmese Way Rowley Regis",NA,""
"1742",2011,"","Bus Station Dudley",NA,""
"1743",2011,"","Carpark Of Maybrook Hosue In Halesowen",NA,""
"1744",2011,"","Carpark Of The Barley Mow High str. Wollaston","Carpark Of The Barley Mow High Str Wollaston",""
"1745",2011,"","Castlegate Dudley",NA,""
"1746",2011,"","Cinder Bank Island Netherton",NA,""
"1747",2011,"","Court str.","Court Str",""
"1748",2011,"","Courthouse Ph Sedgeley",NA,""
"1749",2011,"","Crabmill Carpark Oldswinford",NA,""
"1750",2011,"","Crompton rd.","Crompton str.",""
"1751",2011,"","Crown Centre Stourbridge",NA,""
"1752",2011,"","Dudley Bus Station",NA,""
"1753",2011,"","Dudley Police Station",NA,""
"1754",2011,"","Dudley rd.","Dudley str.",""
"1755",2011,"","Dudley rd. Brierley Hill","Dudley str. Brierley Hill",""
"1756",2011,"","Edward Rutland Ph High str. Stourbridge","Edward Rutland Ph High Str Stourbridge",""
"1757",2011,"","Enville rd.","Enville str.",""
"1758",2011,"","Fern str.","Fern Str",""
"1759",2011,"","Foster str. Stourbridge","Foster Str Stourbridge",""
"1760",2011,"","Front Office Bhps",NA,""
